k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,outside_pad,Yscan,n_y_used,sigma_center_min,sigma_scan_lower,sigma_outside_lower,sigma_global_lower,y_at_min,param_pert,higher_rank_margin,passed
61,0.23000000000000004,0.24000000000000005,0.07,0.08000000000000002,0.14004541652950941,15.43191498162169,0.6600000000000008,16.09191498162169,801,1.0115671201865173,0.9914522264594894,0.6600000000000008,0.6600000000000008,13.074680922567623,0.6100000000000008,0.050000000000000044,True
61,0.23000000000000004,0.24000000000000005,0.08000000000000002,0.09000000000000001,0.13743683014094057,15.635526853931095,0.6600000000000004,16.295526853931097,801,1.0142294309288444,0.9938600223614311,0.6600000000000004,0.6600000000000004,13.077160300279704,0.6100000000000003,0.050000000000000044,True
61,0.23000000000000004,0.24000000000000005,0.09000000000000001,0.1,0.13472503210003042,15.860000000000001,0.6600000000000004,16.520000000000003,801,1.0170824723572687,0.9964324723572688,0.6600000000000004,0.6600000000000004,13.050800000000006,0.6100000000000003,0.050000000000000044,True
61,0.23000000000000004,0.24000000000000005,0.1,0.11000000000000001,0.1319422303813173,16.104462114581807,0.6600000000000008,16.764462114581807,801,1.0198889348902909,0.9989333572470644,0.6600000000000008,0.6600000000000008,-13.07628044937381,0.6100000000000008,0.050000000000000044,True
61,0.23000000000000004,0.24000000000000005,0.11000000000000001,0.12000000000000001,0.1291155359321745,16.36801759529846,0.6600000000000004,17.02801759529846,801,1.0228240329309342,1.0015390109368114,0.6600000000000004,0.6600000000000004,13.06900350439157,0.6100000000000003,0.050000000000000044,True
61,0.24000000000000005,0.25000000000000006,0.05,0.060000000000000005,0.16801282872841605,15.683051361262581,0.6600000000000006,16.34305136126258,801,1.0108031495386047,0.9903743353370267,0.6600000000000006,0.6600000000000006,13.646447886654254,0.6100000000000005,0.050000000000000044,True
61,0.24000000000000005,0.25000000000000006,0.060000000000000005,0.07,0.16454003798465083,15.836521082611565,0.6600000000000006,16.496521082611565,801,1.0141130770562383,0.9934924257029745,0.6600000000000006,0.6600000000000006,13.650871195861068,0.6100000000000005,0.050000000000000044,True
61,0.24000000000000005,0.25000000000000006,0.07,0.08000000000000002,0.1609100266036863,16.011773793056165,0.6600000000000008,16.671773793056165,801,1.0177090446203396,0.9968693273790186,0.6600000000000008,0.6600000000000008,13.670854510306057,0.6100000000000008,0.050000000000000044,True
61,0.24000000000000005,0.25000000000000006,0.08000000000000002,0.09000000000000001,0.15718805373663997,16.208102911815466,0.6600000000000004,16.868102911815466,801,1.021281559273127,1.0001964306333568,0.6600000000000004,0.6600000000000004,13.663163358570529,0.6100000000000003,0.050000000000000044,True
61,0.24000000000000005,0.25000000000000006,0.09000000000000001,0.1,0.15342431381380983,16.42475266176026,0.6600000000000004,17.08475266176026,801,1.0250343553590116,1.0036784145318107,0.6600000000000004,0.6600000000000004,-13.667802129408207,0.6100000000000003,0.050000000000000044,True
