Omega_lo,Omega_hi,Delta_lo,Delta_hi,Omega_center,Delta_center,alpha_upper_gap3,Ymax,sigma_center_min,y_at_min,pert_bound,k4_gt_k3_margin,passed,depth
0.20750000000000002,0.21,0.052500000000000005,0.055,0.20875,0.053750000000000006,0.28679840672144125,13.409977628616685,0.020748519941514797,0.6034489932877491,0.015587490678590374,0.005161029262924423,True,2
0.20500000000000002,0.20750000000000002,0.055,0.057499999999999996,0.20625000000000002,0.056249999999999994,0.28636354476764,13.408271700707738,0.02052170884482068,0.5921986667812593,0.015586779875295095,0.004934928969525583,True,2
0.20500000000000002,0.20750000000000002,0.057499999999999996,0.06,0.20625000000000002,0.05875,0.2866497914752045,13.408928928143366,0.020440965364666823,-0.5922276943263327,0.015587053720059751,0.0048539116446070715,True,2
0.20750000000000002,0.21,0.055,0.057499999999999996,0.20875,0.056249999999999994,0.2870654158920478,13.410606809536995,0.02066719345989407,-0.6034773064291663,0.015587752837307331,0.00507944062258674,True,2
0.20750000000000002,0.21,0.057499999999999996,0.06,0.20875,0.05875,0.2873449708404424,13.411263922539144,0.020582111990930574,0.6035068765142615,0.015588026634391017,0.004994085356539557,True,2
0.2,0.2025,0.06,0.0625,0.20125,0.06125,0.28560490550977535,13.405027042121176,0.018879666253422966,-0.5808845051585827,0.015585427934216911,0.0032942383192060554,True,2
0.2,0.2025,0.0625,0.065,0.20125,0.06375,0.2859325368872364,13.405740374928943,0.018766811122641433,-0.5809154162469206,0.015585725156220365,0.0031810859664210683,True,2
0.2025,0.20500000000000002,0.06,0.0625,0.20375000000000001,0.06125,0.2862714363688789,13.407306776530476,0.019544857982647813,0.5921560492967615,0.015586377823554765,0.003958480159093048,True,2
0.2025,0.20500000000000002,0.0625,0.065,0.20375000000000001,0.06375,0.2865910998591666,13.408019988051928,0.019429722971988753,0.5921875494722944,0.015586674995021754,0.003843047976966999,True,2
0.2,0.2025,0.065,0.0675,0.20125,0.06625,0.286273778233348,13.406481641355423,0.018649329463718015,0.5809475377920688,0.015586034017231798,0.0030632954464862167,True,2
0.2,0.2025,0.0675,0.07,0.20125,0.06875,0.28662865513591174,13.407250836767394,0.018527242186497782,0.5809808695932546,0.015586354515319423,0.002940887671178359,True,2
0.2025,0.20500000000000002,0.065,0.0675,0.20375000000000001,0.06625,0.2869240182734687,13.408761128456275,0.019309801337477932,0.592220283173484,0.015586983803523191,0.0037228175339547413,True,2
0.2025,0.20500000000000002,0.0675,0.07,0.20375000000000001,0.06875,0.287270213776062,13.409530193112657,0.019185102986878283,-0.5922542501958095,0.015587304247129952,0.0035977987397483313,True,2
0.20500000000000002,0.20750000000000002,0.06,0.0625,0.20625000000000002,0.06125,0.28694891733661815,13.409614088406869,0.020356755553684526,-0.5922579555713021,0.015587339203502859,0.004769416350181667,True,2
0.20500000000000002,0.20750000000000002,0.0625,0.065,0.20625000000000002,0.06375,0.2872609408585804,13.410327177216818,0.020266610363467937,0.6034647229747563,0.015587636323840082,0.0046789740396278555,True,2
0.20750000000000002,0.21,0.06,0.0625,0.20875,0.06125,0.2876370872195656,13.411948963517569,0.020493304004724367,-0.6035377033582918,0.015588312068132548,0.004904991936591819,True,2
0.20750000000000002,0.21,0.0625,0.065,0.20875,0.06375,0.28794178099821055,13.412661928193076,0.02040080042223173,0.6035697867686878,0.0155886091367467,0.004812191285485028,True,2
0.20500000000000002,0.20750000000000002,0.065,0.0675,0.20625000000000002,0.06625,0.28758588088976617,13.411068190118192,0.020145619178198636,-0.6034980685553197,0.015587945079216015,0.004557674098982622,True,2
0.20500000000000002,0.20750000000000002,0.0675,0.07,0.20625000000000002,0.06875,0.2879237565581305,13.411837122482513,0.02001975860442297,0.6035326705117132,0.015588265467700646,0.004431493136722323,True,2
0.20750000000000002,0.21,0.065,0.0675,0.20875,0.06625,0.2882590684061267,13.413402812112965,0.02030463479580978,0.6036031265450834,0.015588917838380734,0.0047157169574290475,True,2
0.20750000000000002,0.21,0.0675,0.07,0.20875,0.06875,0.2885889658756805,13.414171610651177,0.020204843503254667,-0.6036377224793021,0.015589238171104636,0.0046156053321500315,True,2
0.2,0.2025,0.07,0.07250000000000001,0.20125,0.07125000000000001,0.28699719357669584,13.408047956358152,0.018400572750444263,0.5810154114421859,0.015586686648482173,0.0028138861019620896,True,2
0.2,0.2025,0.07250000000000001,0.07500000000000001,0.20125,0.07375000000000001,0.2873794198490962,13.408872995147654,0.0182693474250461,0.5810511631230639,0.015587030414645264,0.0026823170104008365,True,2
0.2025,0.20500000000000002,0.07,0.07250000000000001,0.20375000000000001,0.07125000000000001,0.28762970882756395,13.410327177216818,0.019055639453377002,0.5922894503270761,0.015587636323840082,0.00346800312953692,True,2
0.2025,0.20500000000000002,0.07250000000000001,0.07500000000000001,0.20375000000000001,0.07375000000000001,0.28800252610850663,13.411152075791252,0.018921424080100818,0.5923258833474474,0.015587980031579685,0.003333444048521133,True,2
0.2,0.2025,0.07500000000000001,0.07750000000000001,0.20125,0.07625000000000001,0.2877753604703441,13.40972594798268,0.018133595573581792,0.5810881244125827,0.015587385811659304,0.0025462097619224876,True,2
0.2,0.2025,0.07750000000000001,0.08,0.20125,0.07875000000000001,0.28818504208805956,13.410606809536995,0.01799334996235747,-0.5811262950799367,0.015587752837307373,0.0024055971250500977,True,2
0.2025,0.20500000000000002,0.07500000000000001,0.07750000000000001,0.20375000000000001,0.07625000000000001,0.2883886884380767,13.412004883685363,0.01878247222088933,0.5923635490294359,0.015588335368202033,0.003194136852687296,True,2
0.2025,0.20500000000000002,0.07750000000000001,0.08,0.20375000000000001,0.07875000000000001,0.2887882186877809,13.412885595575622,0.018638801458867503,-0.592402447137923,0.015588702331490206,0.0030500991273772968,True,2
0.20500000000000002,0.20750000000000002,0.07,0.07250000000000001,0.20625000000000002,0.07125000000000001,0.2882745872042,13.412633969508002,0.019889031709530054,0.6035685286278607,0.015588597487294686,0.004300434222235368,True,2
0.20500000000000002,0.20750000000000002,0.07250000000000001,0.07500000000000001,0.20625000000000002,0.07375000000000001,0.2886383923101927,13.413458726219721,0.019753442637932283,0.6036056426798861,0.015588941135925127,0.004164501502007156,True,2
0.20750000000000002,0.21,0.07,0.07250000000000001,0.20875,0.07125000000000001,0.28893148997989204,13.414968319008436,0.02010146595617968,-0.6036735743553798,0.015589570132920005,0.004511895823259674,True,2
0.20750000000000002,0.21,0.07250000000000001,0.07500000000000001,0.20875,0.07375000000000001,0.28928665736669945,13.415792932212392,0.019994544823654946,0.6037106819495577,0.015589913721754722,0.0044046311019002235,True,2
0.20500000000000002,0.20750000000000002,0.07500000000000001,0.07750000000000001,0.20625000000000002,0.07625000000000001,0.2890151914248047,13.414311387469727,0.01961299674836364,0.6036440124361366,0.01558929641144613,0.004023700336917509,True,2
0.20500000000000002,0.20750000000000002,0.07750000000000001,0.08,0.20625000000000002,0.07875000000000001,0.2894050040834305,13.415191947937235,0.01946770076281175,-0.6036836376571753,0.015589663311640772,0.0038780374511709764,True,2
0.20750000000000002,0.21,0.07500000000000001,0.07750000000000001,0.20875,0.07625000000000001,0.2896544846893363,13.416645445117792,0.019884126272016467,0.6037490450303018,0.015590268935465612,0.004293857336550855,True,2
0.20750000000000002,0.21,0.07750000000000001,0.08,0.20875,0.07875000000000001,0.2900349885326161,13.41752585240662,0.019770260221899903,-0.6037886633582978,0.015590635771835754,0.004179624450064149,True,2
0.2,0.2025,0.08,0.08249999999999999,0.20125,0.08124999999999999,0.28860849138082967,13.411515574311503,0.01784864709783383,-0.5811656748868312,0.015588131489296247,0.0022605156085375826,True,2
0.2,0.2025,0.08249999999999999,0.08499999999999999,0.20125,0.08374999999999999,0.2890457349525515,13.412452236634433,0.017699527594275507,0.581206263587493,0.015588521765264263,0.002111005829011244,True,2
0.2025,0.20500000000000002,0.08,0.08249999999999999,0.20375000000000001,0.08124999999999999,0.2892011396897861,13.413794205965738,0.01849043184448623,0.5924425774301536,0.015589080919152759,0.00290135092533347,True,2
