Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det,min_Re_Sigma_minus,min_Re_Sigma_plus
0.25,0.122,3,0.16455243864444125,0.11927236073673576,0.552,0.3671469872536792,0.501,0.02140951997248338,0.020165461090043184
0.25,0.123,3,0.1640485725114753,0.11979992218586398,0.552,0.3691294432431241,0.5005000000000001,0.02141000728128968,0.02015643006391358
0.25,0.124,3,0.16354689918078485,0.12032625228957831,0.5525,0.3711107723223445,0.5,0.021410484247751684,0.020147399540600935
0.25,0.125,3,0.1630474038050172,0.1208513572614037,0.5525,0.3730909589723088,0.499,0.021410950810342878,0.020138369465640658
0.25,0.126,3,0.1625500717031275,0.12137529575122394,0.5525,0.37506992603207273,0.4985,0.021411406908252734,0.02012933978548749
0.25,0.127,3,0.16205488835761062,0.12189807832065838,0.5525,0.37704778955592716,0.498,0.02141185248137548,0.02012031044750026
0.25,0.128,3,0.16156183941179308,0.1224197154120765,0.5525,0.3790245630356813,0.4975,0.021412287470299052,0.020111281399926986
0.25,0.129,3,0.16107091066718027,0.12294021735060139,0.5525,0.3810002598448993,0.497,0.021412711816294352,0.02010225259189021
0.25,0.13,3,0.16058208808086727,0.12345959434606556,0.5525,0.3829748932392357,0.4965,0.0214131254613047,0.020093223973372765
0.25,0.131,3,0.16009535776299663,0.1239778564949286,0.5525,0.38494847635683155,0.496,0.02141352834793556,0.02008419549520371
0.25,0.132,3,0.15961070597428006,0.12449501378214883,0.5525,0.3869210222187197,0.4955,0.021413920419444447,0.020075167109044702
0.25,0.133,3,0.15912811912356442,0.12501107608301718,0.5525,0.38889254372928606,0.495,0.021414301619731152,0.020066138767376524
0.25,0.134,3,0.15864758376545576,0.12552605316494733,0.5525,0.39086305367674207,0.4945,0.02141467189332806,0.020057110423485992
0.25,0.135,3,0.15816908659798695,0.12603995468923385,0.5525,0.39283256473364414,0.494,0.02141503118539078,0.020048082031453078
0.25,0.136,3,0.15769261446034147,0.12655279021276442,0.5525,0.3948008756767903,0.493,0.02141537944168895,0.020039053546138313
0.25,0.137,3,0.15721815433061967,0.12706456918970035,0.5525,0.3967680763279401,0.4925,0.02141571660859723,0.020030024923170485
0.25,0.138,3,0.1567456933236494,0.12757525058136723,0.553,0.398734300377029,0.492,0.02141604263308647,0.0200209961189345
0.25,0.139,3,0.1562752186888502,0.12808484411516927,0.553,0.40069956018731606,0.4915,0.021416357462715155,0.020011967090559593
0.25,0.14,3,0.15580671780813335,0.12859340880430245,0.553,0.40266386800595166,0.491,0.021416661045620962,0.02000293779590772
0.25,0.14100000000000001,3,0.15534017819384763,0.12910095371215335,0.553,0.4046272359646998,0.4905,0.021416953330512488,0.019993908193562185
0.25,0.14200000000000002,3,0.1548755874867689,0.12960748780723688,0.553,0.4065893601043169,0.4895,0.021417234266661207,0.019984878242816514
0.25,0.14300000000000002,3,0.15441293345412704,0.13011301996467495,0.553,0.4085504254574464,0.489,0.021417503803893574,0.019975847903663538
0.25,0.14400000000000002,3,0.15395220398767456,0.13061755896764538,0.553,0.41051057267412655,0.4885,0.021417761892583303,0.0199668171367847
0.25,0.14500000000000002,3,0.15349338710179425,0.13112111350880046,0.553,0.4124698135579638,0.488,0.02141800848364379,0.019957785903539575
0.25,0.14600000000000002,3,0.15303647093164446,0.1316236921916543,0.553,0.41442804767381175,0.487,0.021418243528520703,0.019948754165955578
0.25,0.14700000000000002,3,0.15258144373133944,0.1321253035319454,0.553,0.41638497726103685,0.4865,0.021418466979184758,0.0199397218867179
0.25,0.148,3,0.15212829387216859,0.13262595595896906,0.553,0.4183410219457022,0.486,0.021418678788124586,0.019930689029159624
0.25,0.149,3,0.15167700984085009,0.13312565781688251,0.553,0.4202961931913033,0.48550000000000004,0.021418878908339822,0.019921655557252026
0.25,0.15,3,0.15122758023781627,0.13362437919915265,0.5535,0.42225020458941387,0.48450000000000004,0.021419067293334267,0.01991262143559508
0.251,0.06,3,0.20521999702683225,0.08031808180763546,0.554,0.2321446848644329,0.5325,0.021554602731630904,0.020914813568479424
