Omega_over_gamma,Delta_over_gamma,gap_k1_over_gamma,gap_k2_over_gamma,gap_k3_over_gamma,gap_k4_over_gamma,winner_k_among_1_to_4
0.1825,0.0,0.07913821375158232,0.2608934902767493,0.27667626753424734,0.29666240358083396,1
0.18375,0.0,0.08048322354409872,0.26104027847771366,0.27702760728134024,0.2972569038420828,1
0.185,0.0,0.08184828279199766,0.2611879867662545,0.2773809183189493,0.2978541664170454,1
0.18625,0.0,0.08323388383727348,0.26133661342972553,0.27773619173725866,0.29845416505980005,1
0.1875,0.0,0.08464054305846318,0.26148615674263215,0.27809341856352787,0.2990568733864072,1
0.18875,0.0,0.08606880254204205,0.2616366149666157,0.2784525897622318,0.2996622648771453,1
0.19,0.0,0.08751923190728095,0.26178798635044026,0.27881369623521396,0.30027031287879036,1
0.19125,0.0,0.08899243030217496,0.26194026912997065,0.2791767288218447,0.30088099060694456,1
0.1925,0.0,0.09048902859050727,0.26209346152816193,0.27954167829918675,0.30149427114842686,1
0.19375,0.0,0.09200969175294332,0.2622475617550401,0.279908535382168,0.3021101274636956,1
0.195,0.0,0.09355512152837997,0.26240256800768774,0.28027729072376273,0.3027285323893364,1
0.19625,0.0,0.09512605932565665,0.26255847847023,0.28064793491518203,0.30334945864060103,1
0.1975,0.0,0.09672328944030667,0.26271529131381544,0.2810204584860698,0.3039728788139796,1
0.19875,0.0,0.09834764261641038,0.26287300469660635,0.28139485190470465,0.3045987653898402,1
0.2,0.0,0.10000000000000002,0.2630316167637588,0.28177110557821883,0.3052270907351109,1
0.20125,0.0,0.10168129753803799,0.2631911256474129,0.28214920985281056,0.30585782710600806,1
0.2025,0.0,0.10339253088604253,0.263351529466675,0.2825291550139826,0.3064909466508188,1
0.20375000000000001,0.0,0.10513476089827478,0.263512826327606,0.2829109312867729,0.3071264214127305,1
0.20500000000000002,0.0,0.10690911978745819,0.26367501432320645,0.28329452883600337,0.3077642233327058,1
0.20625000000000002,0.0,0.10871681805678371,0.2638380915334022,0.2836799377665327,0.30840432425240105,1
0.20750000000000002,0.0,0.11055915232615679,0.26400205602503485,0.28406714812352124,0.30904669591715195,1
0.20875,0.0,0.11243751419809246,0.264166905851845,0.28445614989270374,0.309691309978974,1
0.21,0.0,0.1143534003374948,0.26433263905446075,0.28484693300066444,0.31033813799963816,1
0.21125,0.0,0.11630842397518078,0.26449925366038696,0.2852394873151328,0.31098715145377537,1
0.2125,0.0,0.118304328089341,0.2646667476839913,0.28563380264528004,0.3116383217320256,1
0.21375,0.0,0.12034300057459305,0.2648351191264935,0.28602986874202097,0.31229162014424866,1
0.215,0.0,0.12242649177826911,0.2650043659759539,0.28642767529834073,0.3129470179227481,1
0.21625,0.0,0.12455703487241715,0.265174486207262,0.2868272119496117,0.31360448622556863,1
0.2175,0.0,0.1267370696437893,0.26534547778212614,0.2872284682739299,0.31426399613981426,1
0.21875,0.0,0.12896927043101836,0.26551733864906263,0.28763143379246536,0.3149255186850172,1
0.22,0.0,0.13125657912962088,0.26569006674338635,0.2880360979698055,0.3155890248165423,1
0.22125,0.0,0.13360224443744656,0.26586365998720124,0.2884424502143281,0.31625448542903783,1
0.2225,0.0,0.13600986884821978,0.26603811628938934,0.28885047987856693,0.3169218713599137,1
0.22375,0.0,0.13848346535154538,0.26621343354560295,0.2892601762595973,0.317591153392864,1
0.225,0.0,0.14102752641148325,0.2663896096382576,0.2896715285994272,0.3182623022614291,1
0.22625,0.0,0.14364710864297114,0.2665666424365197,0.2900845260853965,0.318935288652584,1
0.2275,0.0,0.14634793779186062,0.2667445297963032,0.2904991578505912,0.3196100832103669,1
0.22875,0.0,0.14913654031315418,0.2669232695602587,0.29091541297426526,0.3202866565395408,1
0.23,0.0,0.15202041028867316,0.26710285955776925,0.29133328048226537,0.32096497920928513,1
0.23125,0.0,0.15500822404018327,0.26728329760494046,0.29175274934747875,0.3216450217569178,1
0.2325,0.0,0.15811012025255472,0.26746458150459773,0.2921738084902805,0.3223267546916513,1
0.23375,0.0,0.16133807186847313,0.26764670904627674,0.29259644677899493,0.3230101484983682,1
0.23500000000000001,0.0,0.16470638945384047,0.26782967800622337,0.2930206530303663,0.3236951736414329,1
