Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.26,0.0843,0.2240853560714465,0.06896948742704745,0.58095,0.21285483197335986,0.575
0.26,0.0844,0.22394658233874837,0.06909428509951938,0.58095,0.2132981166952685,0.575
0.26,0.08449999999999999,0.22380827752093324,0.06921869477813376,0.58095,0.21374027356465708,0.575
0.26,0.0846,0.22367043698692368,0.06934272035603674,0.58095,0.21418131425397777,0.575
0.26,0.0847,0.22353305617969463,0.06946636566413823,0.58095,0.21462125024990614,0.575
0.26,0.0848,0.22339613061465113,0.06958963447247347,0.58095,0.21506009285739563,0.575
0.26,0.0849,0.22325965587805205,0.06971253049152834,0.58095,0.21549785320361659,0.575
0.26,0.08499999999999999,0.22312362762547924,0.06983505737352469,0.58095,0.21593454224178193,0.575
0.26,0.0851,0.2229880415803479,0.06995721871367098,0.58095,0.2163701707548681,0.575
0.26,0.0852,0.22285289353245485,0.07007901805138396,0.58095,0.216804749359247,0.575
0.26,0.0853,0.2227181793365731,0.07020045887146707,0.58095,0.2172382885081948,0.575
0.26,0.0854,0.2225838949110749,0.07032154460526936,0.58095,0.21767079849533758,0.575
0.26,0.08549999999999999,0.22245003623660053,0.07044227863180133,0.58095,0.21810228945797694,0.575
0.26,0.0856,0.22231659935475295,0.07056266427883434,0.58095,0.2185327713803566,0.575
0.26,0.0857,0.22218358036683958,0.07068270482395567,0.58095,0.218962254096805,0.575
0.26,0.0858,0.2220509754326347,0.07080240349560903,0.58095,0.21939074729483227,0.575
0.26,0.0859,0.22191878076918278,0.07092176347409965,0.58095,0.2198182605181226,0.575
0.26,0.086,0.22178699264962726,0.07104078789257905,0.58095,0.22024480316946407,0.575
0.26,0.0861,0.22165560740207507,0.0711594798379976,0.58095,0.22067038451358695,0.575
0.26,0.0862,0.22152462140848583,0.07127784235203878,0.58095,0.22109501367994436,0.575
0.26,0.0863,0.22139403110358946,0.07139587843202938,0.58095,0.2215186996654201,0.575
0.26,0.0864,0.22126383297383795,0.07151359103181787,0.58095,0.22194145133694937,0.575
0.26,0.0865,0.22113402355637377,0.07163098306264326,0.58095,0.2223632774341017,0.575
0.26,0.0866,0.22100459943803247,0.07174805739397218,0.58095,0.22278418657157573,0.575
0.26,0.0867,0.22087555725436547,0.07186481685431967,0.58095,0.2232041872416455,0.575
0.26,0.0868,0.220746893688689,0.0719812642320493,0.58095,0.22362328781654042,0.575
0.26,0.08689999999999999,0.2206186054711562,0.07209740227615172,0.58095,0.22404149655076747,0.575
0.26,0.087,0.2204906893778542,0.07221323369700411,0.58095,0.2244588215833709,0.575
0.26,0.0871,0.2203631422299155,0.07232876116711662,0.58095,0.2248752709401592,0.575
0.26,0.0872,0.22023596089266534,0.07244398732184788,0.58095,0.2252908525358357,0.575
0.26,0.0873,0.22010914227477463,0.07255891476011837,0.58095,0.22570557417612275,0.575
0.26,0.08739999999999999,0.21998268332744275,0.07267354604509606,0.58095,0.2261194435598062,0.575
0.26,0.0875,0.21985658104359468,0.07278788370487115,0.58095,0.2265324682807476,0.575
0.26,0.0876,0.21973083245710395,0.07290193023310865,0.58095,0.22694465582982748,0.575
0.26,0.0877,0.21960543464202553,0.07301568808969407,0.58095,0.22735601359686927,0.575
0.26,0.0878,0.21948038471185308,0.0731291597013568,0.58095,0.2277665488724986,0.575
0.26,0.08789999999999999,0.2193556798187923,0.07324234746228037,0.58095,0.22817626884996253,0.575
0.26,0.088,0.21923131715304872,0.07335525373470143,0.58095,0.2285851806269161,0.575
0.26,0.0881,0.21910729394213657,0.07346788084949095,0.58095,0.228993291207151,0.575
0.26,0.0882,0.21898360745019846,0.07358023110672447,0.58095,0.22940060750230254,0.575
0.26,0.08829999999999999,0.21886025497734524,0.07369230677623848,0.58095,0.22980713633350217,0.575
0.26,0.08839999999999999,0.21873723385900862,0.07380411009817356,0.58095,0.23021288443300067,0.575
0.26,0.0885,0.21861454146530834,0.07391564328350589,0.58095,0.23061785844575325,0.575
0.26,0.0886,0.21849217520043418,0.07402690851456771,0.58095,0.23102206493097005,0.575
