winner_side,Omega_center,Delta_center,alpha_center,y_center,sigma_center,worst_sigma,max_diff,sigma_minus_diff,passed,box_status
2,0.26614999999999994,0.08475000000000002,0.2813101613626528,0.5994999999999999,0.022792815474427658,0.022777521325366853,0.0009788917921617164,0.02181392368226594,True,certified_box
2,0.26614999999999994,0.08485000000000002,0.28133082488658356,0.5994999999999999,0.02278392880687686,0.02276863764186644,0.0009788923773588504,0.021805036429518008,True,certified_box
2,0.26614999999999994,0.08495000000000003,,,,,,,False,crosses_boundary
2,0.26614999999999994,0.08505000000000003,,,,,,,False,crosses_boundary
1,0.26614999999999994,0.08515000000000003,,,,,,,False,crosses_boundary
1,0.26614999999999994,0.08525000000000003,,,,,,,False,crosses_boundary
1,0.26614999999999994,0.08535000000000004,0.27786869653409196,0.5994999999999999,0.025726297845327373,0.023842244996175314,0.0024583574764603594,0.023267940368867014,True,certified_box
1,0.26614999999999994,0.08545000000000004,0.27674445243323936,0.5994999999999999,0.026676866988798502,0.0249848092641609,0.002249683171552235,0.02442718381724627,True,certified_box
1,0.26614999999999994,0.08555000000000004,0.27571652531177043,0.5994999999999999,0.027546873402416766,0.025999561573289753,0.002095277926071216,0.02545159547634555,True,certified_box
2,0.26624999999999993,0.08385,0.28113514306031623,0.5994999999999999,0.022893514192254178,0.022878260318122116,0.0009788852267532335,0.021914628965500945,True,certified_box
2,0.26624999999999993,0.08395,0.2811555623410462,0.5994999999999999,0.022884775342988956,0.022869486595550038,0.0009788858063734809,0.021905889536615476,True,certified_box
