Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.25,0.16999999999999998,11,0.1426118025016259,0.36520688256138706,2.25,25.76744947842602,0.0
0.25,0.16999999999999998,12,0.1426118025016259,0.38852173667173173,2.475,35.98443468744449,0.0
0.25,0.18,3,0.13855468553620018,0.1482283427826538,0.55,0.48064958997161117,0.45
0.25,0.18,4,0.13855468553620018,0.17529747616976224,0.75,0.9992930986658843,0.65
0.25,0.18,5,0.13855468553620018,0.20451607608971858,0.9500000000000001,1.8855552216700389,0.8250000000000001
0.25,0.18,6,0.13855468553620018,0.23465139853503628,1.1500000000000001,3.299383055511995,0.0
0.25,0.18,7,0.13855468553620018,0.26397845876139914,1.375,5.3430956150761055,0.0
0.25,0.18,8,0.13855468553620018,0.2925154228175295,1.6,8.29993533496378,0.0
0.25,0.18,9,0.13855468553620018,0.3194979959806062,1.8,12.466115105983395,0.0
0.25,0.18,10,0.13855468553620018,0.3450929149470103,2.025,18.202802355720966,0.0
0.25,0.18,11,0.13855468553620018,0.369484524143315,2.25,25.94454515664344,0.0
0.25,0.18,12,0.13855468553620018,0.39281873038691506,2.475,36.20796975264839,0.0
0.25,0.19,3,0.13465257445970313,0.15293448175924476,0.55,0.499384473824783,0.45
0.25,0.19,4,0.13465257445970313,0.17968016795621253,0.75,1.0313023957709149,0.65
0.25,0.19,5,0.13465257445970313,0.20869686410159394,0.9500000000000001,1.9339066537768665,0.8250000000000001
0.25,0.19,6,0.13465257445970313,0.23873585293185076,1.1500000000000001,3.3392995295226413,0.0
0.25,0.19,7,0.13465257445970313,0.2680580048632491,1.375,5.3998420760416606,0.0
0.25,0.19,8,0.13465257445970313,0.29662158170879604,1.6,8.377660793294211,0.0
0.25,0.19,9,0.13465257445970313,0.32361324406903713,1.8,12.569617898728236,0.0
0.25,0.19,10,0.13465257445970313,0.3492429214093112,2.025,18.337593160939146,0.0
0.25,0.19,11,0.13465257445970313,0.3736616893230808,2.25,26.116911404944172,0.0
0.25,0.19,12,0.13465257445970313,0.3970159184647112,2.475,36.42504410140959,0.0
0.25,0.2,3,0.1308972792930903,0.1575742482958278,0.55,0.5125492983299775,0.0
0.25,0.2,4,0.1308972792930903,0.18398053610118018,0.75,1.0635678966305517,0.65
0.25,0.2,5,0.1308972792930903,0.21278449157118776,0.9500000000000001,1.9823824510555974,0.8250000000000001
0.25,0.2,6,0.1308972792930903,0.24272272032285602,1.1500000000000001,3.3786381307153213,0.0
0.25,0.2,7,0.1308972792930903,0.2720383476674738,1.375,5.455641354498429,0.0
0.25,0.2,8,0.1308972792930903,0.30062951831152995,1.6,8.453909999717673,0.0
0.25,0.2,9,0.1308972792930903,0.3276319137456214,1.8,12.670912372237302,0.0
0.25,0.2,10,0.1308972792930903,0.35329773312390067,2.025,18.469192016708707,0.0
0.25,0.2,11,0.1308972792930903,0.3777447528992878,2.25,26.28479687095552,0.0
0.25,0.2,12,0.1308972792930903,0.40111975188291754,2.475,36.635985267713096,0.0
0.25,0.21000000000000002,3,0.12728125562848666,0.16215304057846122,0.55,0.5212118610390039,0.0
0.25,0.21000000000000002,4,0.12728125562848666,0.18820449468579872,0.75,1.0925306800874184,0.0
0.25,0.21000000000000002,5,0.12728125562848666,0.21678475731726987,0.9500000000000001,2.0085112885523433,0.0
0.25,0.21000000000000002,6,0.12728125562848666,0.2466176267913245,1.1500000000000001,3.4174398692615435,0.0
0.25,0.21000000000000002,7,0.12728125562848666,0.2759250843751726,1.375,5.510555275919898,0.0
0.25,0.21000000000000002,8,0.12728125562848666,0.3045448554220413,1.6,8.528772627847022,0.0
0.25,0.21000000000000002,9,0.12728125562848666,0.33155966325174174,1.8,12.770124662863184,0.0
0.25,0.21000000000000002,10,0.12728125562848666,0.35726309851007554,2.025,18.597771887875897,0.0
0.25,0.21000000000000002,11,0.12728125562848666,0.3817395482894732,2.25,26.44843362460504,0.0
0.25,0.21000000000000002,12,0.12728125562848666,0.40513613754774286,2.475,36.841098764382146,0.0
0.25,0.22000000000000003,3,0.12379753095274437,0.16667583543296527,0.55,0.5298106509794518,0.0
0.25,0.22000000000000003,4,0.12379753095274437,0.19235752219230512,0.75,1.1084863638301217,0.0
0.25,0.22000000000000003,5,0.12379753095274437,0.22070301367527076,0.9500000000000001,2.0342458880458167,0.0
0.25,0.22000000000000003,6,0.12379753095274437,0.2504257448113154,1.1500000000000001,3.4557432874989416,0.0
0.25,0.22000000000000003,7,0.12379753095274437,0.279723343951683,1.375,5.564641902335846,0.0
0.25,0.22000000000000003,8,0.12379753095274437,0.30837274095746225,1.6,8.602332833610363,0.0
0.25,0.22000000000000003,9,0.12379753095274437,0.3354016765699898,1.8,12.867373067301248,0.0
0.25,0.22000000000000003,10,0.12379753095274437,0.36114428800073184,2.025,18.7234948871604,0.0
